set,n,fraction,budget_min,total_score,greedy_score,aco_mean,aco_std,aco_stops,aco_time_ms,exact_score
small-5,6,0.25,39.69,29.50,9.8680,9.8680,0.0000,1.00,2.74,9.8680
small-5,6,0.5,79.38,29.50,18.5589,18.5589,0.0000,2.00,4.77,18.5589
small-5,6,0.75,119.07,29.50,24.2617,24.2617,0.0000,3.00,6.29,25.6637
medium-8,9,0.25,58.54,38.88,18.5589,18.5589,0.0000,2.00,5.91,18.5589
medium-8,9,0.5,117.08,38.88,27.3976,27.3976,0.0000,4.00,11.09,27.3976
medium-8,9,0.75,175.62,38.88,33.6445,33.6445,0.0000,6.00,14.95,33.6445
medium-9,10,0.25,63.87,41.67,18.5589,18.5589,0.0000,2.00,7.07,18.5589
medium-9,10,0.5,127.74,41.67,27.3976,27.7856,0.0000,5.00,13.28,27.7856
medium-9,10,0.75,191.61,41.67,33.4884,34.6744,0.1764,6.40,17.26,36.4338
medium-10,11,0.25,74.05,42.70,21.6948,21.6948,0.0000,3.00,9.80,
medium-10,11,0.5,148.10,42.70,30.1869,30.6990,0.0000,5.00,16.21,
medium-10,11,0.75,222.15,42.70,36.4338,37.5838,0.1650,7.30,23.36,
medium-11,12,0.25,82.82,49.47,21.6948,21.8272,0.0662,3.00,10.94,
medium-11,12,0.5,165.65,49.47,34.1663,34.5320,0.0667,5.90,19.86,
medium-11,12,0.75,248.47,49.47,43.2025,44.2445,0.0000,8.00,27.87,
large-12,13,0.25,92.19,57.63,25.3276,25.3276,0.0000,3.00,12.36,
large-12,13,0.5,184.39,57.63,39.4118,39.9239,0.0000,6.00,22.54,
large-12,13,0.75,276.58,57.63,51.3615,51.3615,0.0000,9.00,34.23,
large-15,16,0.25,116.53,76.87,34.2702,34.2702,0.0000,4.00,19.28,
large-15,16,0.5,233.05,76.87,52.3337,54.0994,1.0789,7.30,32.82,
large-15,16,0.75,349.58,76.87,67.6540,68.1675,0.2030,11.00,50.66,
